interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,1869353978,1443222,0,0,0,0,0,1279,184220932,433111,0,120,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1880896155,1454346,0,0,0,0,0,1305,188789737,441727,0,123,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1967206,35057,0,0,0,0,0,26,107337680,71407,0,25,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1886132000,1459019,0,0,0,0,0,1309,190307004,444888,0,125,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,1994870,35589,0,0,0,0,0,26,109050874,72543,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1896958575,1468781,0,0,0,0,0,1324,193717044,451404,0,126,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1903255658,1474780,0,0,0,0,0,1345,196174289,455787,0,126,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1912102644,1482679,0,0,0,0,0,1356,199087556,461205,0,127,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1916400619,1487103,0,0,0,0,0,1356,200952226,465007,0,128,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1926071606,1495589,0,0,0,0,0,1376,203872493,470030,0,128,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1931645705,1500592,0,0,0,0,0,1423,205715864,473328,0,129,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1936982146,1505680,0,0,0,0,0,1424,207787711,477170,0,129,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2075734,37145,0,0,0,0,0,26,113660725,75601,0,26,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1952198829,1519930,0,0,0,0,0,1441,212652221,486740,0,129,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129034,38170,0,0,0,0,0,26,116821020,77690,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1958842867,1525783,0,0,0,0,0,1468,214860117,490489,0,130,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129034,38170,0,0,0,0,0,26,116821020,77690,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1975197196,1540401,0,0,0,0,0,1494,219981900,500394,0,132,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
