CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.42ms,0.88ms,0.25ms,13.12ms,2(DR0,0.35,0.15(W0.21),1.00,18.55/22.64,21.10,1,1.21,0,0,17:31:49.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.36ms,0.77ms,0.25ms,13.15ms,2(DR0,0.33,0.10(W0.11),1.00,18.59/22.46,21.15,1,1.21,0,0,17:31:50.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.47ms,0.83ms,0.25ms,13.83ms,2(DR0,0.35,0.10(W0.11),1.00,18.50/22.32,21.06,1,1.21,0,0,17:31:51.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.41ms,0.71ms,0.25ms,13.86ms,2(DR0,0.34,0.14(W0.15),1.00,18.66/23.15,21.69,1,1.21,0,0,17:31:52.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.44ms,0.74ms,0.24ms,13.84ms,2(DR0,0.34,0.24(W0.31),1.00,18.78/23.21,21.76,1,1.21,0,0,17:31:53.090,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.42ms,0.68ms,0.25ms,13.86ms,2(DR0,0.34,0.10(W0.14),1.00,18.89/23.10,21.64,1,1.21,0,0,17:31:54.090,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7884,0,31.2C/0.0C,3.44ms,0.80ms,0.25ms,13.85ms,2(DR0,0.34,0.08(W0.10),1.00,19.25/23.92,21.84,1,1.21,0,0,17:31:55.090,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,14,2/0/1/10,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.41ms,0.68ms,0.25ms,13.86ms,2(DR0,0.34,0.11(W0.22),1.00,18.88/23.23,21.78,1,1.21,0,0,17:31:56.098,100,Quest-Pro,replay1.2
3,4,1382,525,70,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.40ms,0.63ms,0.25ms,14.32ms,2(DR0,0.34,0.18(W0.25),1.00,19.11/25.53,24.28,1,1.21,0,0,17:31:57.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.41ms,0.75ms,0.25ms,13.87ms,2(DR0,0.34,0.16(W0.19),1.00,19.71/24.91,23.18,1,1.21,0,0,17:31:58.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.41ms,0.78ms,0.25ms,13.86ms,2(DR0,0.34,0.19(W0.36),1.00,19.51/23.92,22.34,1,1.21,0,0,17:31:59.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.44ms,0.81ms,0.24ms,13.86ms,2(DR0,0.34,0.13(W0.19),1.00,19.51/23.92,22.34,1,1.21,0,0,17:32:00.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,3,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.40ms,0.71ms,0.25ms,13.84ms,2(DR0,0.34,0.18(W0.23),1.00,19.03/23.22,21.92,1,1.21,0,0,17:32:01.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.46ms,0.82ms,0.25ms,13.85ms,2(DR0,0.35,0.11(W0.14),1.00,19.14/22.98,21.69,1,1.21,0,0,17:32:02.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.41ms,0.78ms,0.25ms,13.86ms,2(DR0,0.35,0.18(W0.26),1.00,18.93/22.79,21.63,1,1.21,0,0,17:32:03.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,6,0/1/0/6,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.46ms,0.81ms,0.24ms,13.11ms,2(DR0,0.35,0.11(W0.22),1.00,18.83/22.69,21.42,1,1.21,0,0,17:32:04.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.41ms,0.92ms,0.25ms,13.11ms,2(DR0,0.35,0.13(W0.19),1.00,18.58/22.39,21.41,1,1.21,0,0,17:32:05.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.2C/0.0C,3.40ms,0.73ms,0.24ms,13.11ms,2(DR0,0.34,0.19(W0.25),1.00,18.59/22.48,21.34,1,1.21,0,0,17:32:06.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.42ms,0.68ms,0.24ms,13.87ms,2(DR0,0.34,0.15(W0.25),1.00,18.80/25.89,24.04,1,1.21,0,0,17:32:07.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.41ms,0.71ms,0.25ms,13.86ms,2(DR0,0.34,0.14(W0.18),1.00,19.71/24.34,22.86,1,1.21,0,0,17:32:08.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.43ms,0.74ms,0.24ms,13.86ms,2(DR0,0.35,0.11(W0.18),1.00,19.21/23.82,22.00,1,1.21,0,0,17:32:09.091,100,Quest-Pro,replay1.2
