log start time: 08-02-2024_03-56-03
1971569512 k /user/hand/left/output/haptic 1
1971569512 k /user/hand/right/output/haptic 1
1985458402 k /user/hand/left/output/haptic 1
1985458402 k /user/hand/right/output/haptic 1
1999338113 k /user/hand/left/output/haptic 1
1999338113 k /user/hand/right/output/haptic 1
2013227003 k /user/hand/left/output/haptic 1
2013227003 k /user/hand/right/output/haptic 1
2027113200 k /user/hand/left/output/haptic 1
2027113200 k /user/hand/right/output/haptic 1
2040991013 k /user/hand/left/output/haptic 1
2040991013 k /user/hand/right/output/haptic 1
2054876213 k /user/hand/left/output/haptic 1
2054876213 k /user/hand/right/output/haptic 1
2068765101 k /user/hand/left/output/haptic 1
2068765101 k /user/hand/right/output/haptic 1
2082650900 k /user/hand/left/output/haptic 1
2082650900 k /user/hand/right/output/haptic 1
2096534202 k /user/hand/left/output/haptic 1
2096534202 k /user/hand/right/output/haptic 1
2110415614 k /user/hand/left/output/haptic 1
2110415614 k /user/hand/right/output/haptic 1
2124299313 k /user/hand/left/output/haptic 1
2124299313 k /user/hand/right/output/haptic 1
2138188203 k /user/hand/left/output/haptic 1
2138188203 k /user/hand/right/output/haptic 1
2152071602 k /user/hand/left/output/haptic 1
2152071602 k /user/hand/right/output/haptic 1
2165958201 k /user/hand/left/output/haptic 1
2165958201 k /user/hand/right/output/haptic 1
2179837913 k /user/hand/left/output/haptic 1
2179837913 k /user/hand/right/output/haptic 1
2193722213 k /user/hand/left/output/haptic 1
2193722213 k /user/hand/right/output/haptic 1
2207607813 k /user/hand/left/output/haptic 1
2207607813 k /user/hand/right/output/haptic 1
2221496402 k /user/hand/left/output/haptic 1
2221496402 k /user/hand/right/output/haptic 1
2235375112 k /user/hand/left/output/haptic 1
2235375112 k /user/hand/right/output/haptic 1
2249264301 k /user/hand/left/output/haptic 1
2249264301 k /user/hand/right/output/haptic 1
2263150101 k /user/hand/left/output/haptic 1
2263150101 k /user/hand/right/output/haptic 1
2277034401 k /user/hand/left/output/haptic 1
2277034401 k /user/hand/right/output/haptic 1
2290918602 k /user/hand/left/output/haptic 1
2290918602 k /user/hand/right/output/haptic 1
2304802903 k /user/hand/left/output/haptic 1
2304802903 k /user/hand/right/output/haptic 1
2318688001 k /user/hand/left/output/haptic 1
2318688001 k /user/hand/right/output/haptic 1
2332571803 k /user/hand/left/output/haptic 1
2332571803 k /user/hand/right/output/haptic 1
2346453913 k /user/hand/left/output/haptic 1
2346453913 k /user/hand/right/output/haptic 1
2360335113 k /user/hand/left/output/haptic 1
2360335113 k /user/hand/right/output/haptic 1
2374220913 k /user/hand/left/output/haptic 1
2374220913 k /user/hand/right/output/haptic 1
2388108814 k /user/hand/left/output/haptic 1
2388108814 k /user/hand/right/output/haptic 1
2401997703 k /user/hand/left/output/haptic 1
2401997703 k /user/hand/right/output/haptic 1
2415874913 k /user/hand/left/output/haptic 1
2415874913 k /user/hand/right/output/haptic 1
2429763801 k /user/hand/left/output/haptic 1
2429763801 k /user/hand/right/output/haptic 1
2443649301 k /user/hand/left/output/haptic 1
2443649301 k /user/hand/right/output/haptic 1
2457527412 k /user/hand/left/output/haptic 1
2457527412 k /user/hand/right/output/haptic 1
2471416303 k /user/hand/left/output/haptic 1
2471416303 k /user/hand/right/output/haptic 1
2485302903 k /user/hand/left/output/haptic 1
2485302903 k /user/hand/right/output/haptic 1
2499182213 k /user/hand/left/output/haptic 1
2499182213 k /user/hand/right/output/haptic 1
2513071104 k /user/hand/left/output/haptic 1
2513071104 k /user/hand/right/output/haptic 1
2526951914 k /user/hand/left/output/haptic 1
2526951914 k /user/hand/right/output/haptic 1
2540835213 k /user/hand/left/output/haptic 1
2540835213 k /user/hand/right/output/haptic 1
2554724102 k /user/hand/left/output/haptic 1
2554724102 k /user/hand/right/output/haptic 1
2568606112 k /user/hand/left/output/haptic 1
2568606112 k /user/hand/right/output/haptic 1
2582495001 k /user/hand/left/output/haptic 1
2582495001 k /user/hand/right/output/haptic 1
2596379300 k /user/hand/left/output/haptic 1
2596379300 k /user/hand/right/output/haptic 1
2610263703 k /user/hand/left/output/haptic 1
2610263703 k /user/hand/right/output/haptic 1
2624145712 k /user/hand/left/output/haptic 1
2624145712 k /user/hand/right/output/haptic 1
2638034603 k /user/hand/left/output/haptic 1
2638034603 k /user/hand/right/output/haptic 1
2651915512 k /user/hand/left/output/haptic 1
2651915512 k /user/hand/right/output/haptic 1
2665804402 k /user/hand/left/output/haptic 1
2665804402 k /user/hand/right/output/haptic 1
2679682313 k /user/hand/left/output/haptic 1
2679682313 k /user/hand/right/output/haptic 1
2693571203 k /user/hand/left/output/haptic 1
2693571203 k /user/hand/right/output/haptic 1
2707458603 k /user/hand/left/output/haptic 1
2707458603 k /user/hand/right/output/haptic 1
2721341101 k /user/hand/left/output/haptic 1
2721341101 k /user/hand/right/output/haptic 1
2735230502 k /user/hand/left/output/haptic 1
2735230502 k /user/hand/right/output/haptic 1
2749110812 k /user/hand/left/output/haptic 1
2749110812 k /user/hand/right/output/haptic 1
2762990814 k /user/hand/left/output/haptic 1
2762990814 k /user/hand/right/output/haptic 1
2776879702 k /user/hand/left/output/haptic 1
2776879702 k /user/hand/right/output/haptic 1
2790762501 k /user/hand/left/output/haptic 1
2790762501 k /user/hand/right/output/haptic 1
2804648903 k /user/hand/left/output/haptic 1
2804648903 k /user/hand/right/output/haptic 1
2818529412 k /user/hand/left/output/haptic 1
2818529412 h /user/hand/right/output/haptic 1
2818529412 k /user/hand/left/output/haptic 1
2818529412 k /user/hand/right/output/haptic 1
2846301701 k /user/hand/left/output/haptic 1
2846301701 k /user/hand/right/output/haptic 1
2860186100 k /user/hand/left/output/haptic 1
2860186100 k /user/hand/right/output/haptic 1
2874073003 k /user/hand/left/output/haptic 1
2874073003 k /user/hand/right/output/haptic 1
