CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,device,app,app_details,is_record,is_wireless,repetition
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.23ms,0.99ms,1.18ms,13.13ms,3(DR0,0.48,0.14(W0.25),1.00,18.69/23.78,22.06,1,1.21,0,0,15:35:47.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,3,1/0/0/3,1,0,0,FF,0/70/0,N/F/N,2092MHz,8188,0,30.0C/0.0C,4.24ms,0.80ms,1.18ms,13.11ms,3(DR0,0.47,0.13(W0.15),1.00,18.71/25.42,23.29,1,1.21,0,0,15:35:48.186,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,8193,0,30.0C/0.0C,4.27ms,0.94ms,1.23ms,13.12ms,3(DR0,0.48,0.09(W0.11),1.00,20.13/26.04,24.09,1,1.21,0,0,15:35:49.194,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.0C/0.0C,4.20ms,0.90ms,1.20ms,13.71ms,3(DR0,0.47,0.12(W0.15),1.00,19.55/24.42,23.22,1,1.21,0,0,15:35:50.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.0C/0.0C,4.15ms,0.78ms,1.23ms,13.87ms,3(DR0,0.46,0.20(W0.26),1.00,19.68/23.80,22.54,1,1.21,0,0,15:35:51.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.0C/0.0C,4.23ms,0.95ms,1.21ms,13.87ms,3(DR0,0.48,0.13(W0.15),1.00,19.14/23.01,22.08,1,1.21,0,0,15:35:52.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.2C/0.0C,4.27ms,1.09ms,1.20ms,13.87ms,3(DR0,0.49,0.10(W0.16),1.00,18.76/23.09,21.47,1,1.21,0,0,15:35:53.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.2C/0.0C,4.27ms,1.09ms,1.19ms,13.86ms,3(DR0,0.49,0.15(W0.17),1.00,18.90/22.39,21.29,1,1.21,0,0,15:35:54.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,73,0ms,0,0,5,0/1/0/5,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.2C/0.0C,4.30ms,0.97ms,1.18ms,13.79ms,3(DR0,0.48,0.09(W0.10),1.00,18.94/26.15,24.81,1,1.21,0,0,15:35:55.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
3,4,1382,525,72,0ms,0,0,1,0/0/0/1,1,0,0,FF,0/70/0,N/F/N,1804MHz,8193,0,30.2C/0.0C,4.25ms,0.89ms,1.18ms,13.88ms,3(DR0,0.48,0.14(W0.19),1.00,21.08/25.06,23.96,1,1.21,0,0,15:35:56.187,Quest-Pro,BeatSaber,PopStars-Medium,False,True,0.2
